说话人01(00:00:00): 我看里面对照的，这都是。
说话人02(00:05:32): 六母亲难怪拿着锅盖。

说话人03(00:05:42): 对上了对上了。

说话人01(00:05:43): 让我们随机到底行吗？小玉？

说话人03(00:05:47): 什么你知道我连毛色都要随机吗？

说话人01(00:05:50): 随机到底！

说话人03(00:05:53): 不过也是毛色颜色就颜色黑色或者灰色吧，我一我1d2。

说话人02(00:06:02): 行来！

说话人03(00:06:12): 花纹全随机了。

说话人02(00:06:15): 灰色灰色。

说话人03(00:06:22): 斑驳是是斑纹是斑驳，不好意思看错了。

说话人02(00:06:29): 还有灰色斑纹外貌。

说话人03(00:06:39): 等一下没看懂他什么意思？

说话人02(00:06:43): 你不用管你投2d6就好了。333。

说话人03(00:06:51): 美丽的脸。

说话人02(00:06:53): 美丽的脸，对上了一切都对上了。

说话人03(00:07:00): 我真服了。

说话人02(00:07:01): 全都对上了，我去不早约，然后我再给你看一眼你的法术效果，你的是黑暗术，而黑暗术。我真服了。他这边老是给我自动把表格给 copy 过来。Can shall we Ok?

说话人01(00:07:42): 好东西，好在哪你别管。

说话人02(00:07:47): 回来让我们看一件自选武器。自选武器，我看一眼起始装备里面武器你得去武器详表里面看想近战还是远程。

说话人03(00:08:21): 远程我要保护好我的美丽的脸。

说话人02(00:08:25): 远程里面弹弓轻弩或重弩弓。

说话人03(00:08:34): 我有钱吗？

说话人02(00:08:35): 你不用管，这是自选的？所以你哪个？

说话人03(00:08:48): 轻弩吧！

说话人02(00:09:00): 复杂。状态没有？身体！很想笑，没事好的，那我们看下一位。如果你们已经在飞书上登录的话，可以跟我申请一下你们的文档编辑，你们自己去改属性面板什么的扣学自己扣。

说话人02(00:09:45): 空间名字？什么雷霆麦？

说话人01(00:09:54): 这么卡了，一听？

说话人03(00:09:56): 我靠。

说话人01(00:09:57): 雷霆卡顿？不是。

说话人04(00:10:02): 看吗？

说话人02(00:10:04): 纯挑衅到时候我就给你换一只猫进来砸你。

说话人03(00:10:08): 你，你要不直接，你要不委婉点叫凯特吧！

说话人04(00:10:12): 不行，这叫毛以以后我再遇到一只猫，我就和它一起走，你们分不清哪个是哪个。

说话人01(00:10:23): 能不能凭点纯挑衅？

说话人02(00:10:25): 有没有我可以叫风间？

说话人03(00:10:31): 对现金问题。

说话人04(00:10:31): 不能这样！

说话人03(00:10:32): 英文泰语在我们这边已经失去了英文泰语的名字，改名分间了。

说话人02(00:10:36): 对！

说话人01(00:10:39): 对。

说话人04(00:10:40): 对！

说话人02(00:10:40): 我知道叫什么了叫。

说话人04(00:10:49): 很好了。

说话人02(00:10:56): 来投一下你的3d6。

说话人04(00:10:58): 12。

说话人01(00:10:59): 这很厉害12。

说话人02(00:11:03): 六六吗？

说话人04(00:11:03): 你信不信三里峡？

说话人02(00:11:06): 六六吗？牛逼，那确实。

说话人01(00:11:09): 这是真12了？

说话人02(00:11:09): 到时候全难怪这么厚，难怪挑衅，原来是有底子的。

说话人04(00:11:18): 3+58。

说话人02(00:11:20): 那就把已知。

说话人04(00:11:23): 1~12102020来10来10来10。

说话人03(00:11:32): 坏在哪了，我请问了。

说话人04(00:11:36): 信不信初一？

说话人03(00:11:39): 不信。

说话人01(00:11:40): 不信。

说话人02(00:11:42): 除以四。

说话人04(00:11:42): 输了。

说话人02(00:11:45): 四四再来个第六。

说话人03(00:11:45): 怪不得这么会挑衅。

说话人01(00:11:48): 我就是贱猫了。

说话人02(00:11:51): 钱包？

说话人04(00:11:54): 信不信初六？

说话人01(00:12:01): 11块钱吗？

说话人02(00:12:01): 你是四一的话 ok木筏船员。船员，你的武器是一个是你要单手锤还是双手锤？

说话人04(00:12:23): 双手吧！没事儿，帅帅！

说话人02(00:12:35): 把虽然物品里还有一个是不知道有什么所谓的木钉。由于你已经没有额外的可以选，那就自己投星象毛色。

说话人03(00:12:55): 你也选个母亲出来？

说话人02(00:12:56): 外貌或者选？

说话人04(00:12:59): 什么？

说话人03(00:13:00): 你也认个母亲出来？

说话人02(00:13:01): 你可以再选一件盔甲来着的。因为因为你的武器从背景表里面获取了，那你就可以去选一件盔甲要轻甲还是重甲要重甲吧？

说话人04(00:13:24): 整个一狂战士。

说话人01(00:13:26): 神秘狂战士哪来的？

说话人03(00:13:29): 你狂在哪里都这么惨吗？

说话人04(00:13:32): 力量12你是第四？

说话人03(00:13:36): 让他的脸去踢死那只猫！

说话人04(00:13:41): 咱们这有只猫！

说话人02(00:13:43): 一两12跟猫有？

说话人04(00:13:44): 我手机中有只猫我没在开玩笑。

说话人01(00:13:49): 力量12是真可以跟猫抗衡了。

说话人03(00:13:52): 是什么？

说话人04(00:13:53): 心向是什么？

说话人03(00:13:56): 每次。

说话人04(00:13:57): 我看第六是啥？

说话人01(00:14:02): 第六不就是母亲吗？

说话人02(00:14:05): 对！

说话人01(00:14:05): 凭祥六不就是母亲吗？对！

说话人04(00:14:11): 怎么换？

说话人01(00:14:12): 哪来的贴膜我还有意思？

说话人02(00:14:14): 两个母亲吗？

说话人03(00:14:14): 这样吧！

说话人02(00:14:15): 还有高手？

说话人03(00:14:16): 风月你也母亲待会。

说话人01(00:14:19): 不是。

说话人02(00:14:20): 一家伙全是一家子，全是母亲，原来是培训，原来是一个幼儿班来的毛色是什么？

说话人04(00:14:30): 11家人孤儿院认识，不是一毛毛色是投什么来着？忘了？

说话人01(00:14:38): 不都是第六吗？

说话人03(00:14:39): 一定。

说话人02(00:14:39): 都是第六毛色加花纹。是棕褐色，棕褐色的条纹。

说话人03(00:14:50): 再来个第六？

说话人01(00:14:52): 再来个第六？

说话人02(00:14:52): 他不是两个都？

说话人04(00:14:55): 也是四？

说话人02(00:14:56): 也是四那么毛区别吗？外貌？

说话人04(00:15:01): 我怎么全是四？

说话人03(00:15:03): I did you.

说话人04(00:15:03): 外貌是2级？

说话人03(00:15:03): I did you.206。

说话人02(00:15:06): 2.6。

说话人04(00:15:09): 不会又是四吧，二和六？

说话人02(00:15:12): 二20。

说话人03(00:15:12): 脏兮兮的服饰，合理，刚战斗完回来脏脏的。

说话人01(00:15:18): 摸胸的能打？

说话人04(00:15:21): 某某船员也是战战斗的？一整个一整个冒险者。

说话人01(00:15:30): 一整个冒险者全出去。

说话人04(00:15:33): 朋友们，我怎么玩的是天地？

说话人02(00:15:37): 太曼妙了！

说话人01(00:15:37): 很冰纯纯狂战士还有一个。

说话人02(00:15:39): Ok风月牙有？

说话人01(00:15:45): 取个名字。

说话人03(00:15:48): 你的名字？

说话人01(00:15:50): 一个叫街猫，给他给我起个叫龙猫，快给我起个叫奶龙。给我起个奶龙。

说话人03(00:15:59): 不是你你是想绷不住谁？

说话人02(00:16:06): 我知道了。小笼子。

说话人01(00:16:10): 不是不是。

说话人02(00:16:13): 小龙子揉一下你的2d63d6。

说话人01(00:16:17): 不是有没有笼子，还叫出来算子？

说话人03(00:16:20): 你不同意，你给秋月发卡？

说话人01(00:16:24): 就这样吧！

说话人03(00:16:26): 真叫红色吗？

说话人02(00:16:30): 这是戏称7ok，这是昵称 understand 敏捷！

说话人03(00:16:41): 66号吧！

说话人02(00:16:44): 还有吃自己属性来了？

说话人01(00:16:46): 我错了66666。

说话人04(00:16:47): 还要送我一点，要不送我一点吧！

说话人01(00:16:49): Thank you 吧！

说话人03(00:16:53): 属性比我还来得来了。

说话人02(00:16:54): 还不错，来雪。

说话人03(00:17:02): 来个一怎么样？

说话人04(00:17:07): 好烦！

说话人01(00:17:09): 你在挨什么？

说话人02(00:17:13): 钱包。

说话人03(00:17:15): 2d62d6让我看看你是什么东西？

说话人01(00:17:17): 第6天。

说话人03(00:17:19): 你不会跟我一样吧？

说话人01(00:17:19): 你别让我1块钱四！

说话人03(00:17:21): 三四，那不一样。

说话人02(00:17:23): 四那就三四的话，垃圾收集者好，跟旁边是一起混的。

说话人02(00:17:37): 你的武器是垃圾钩重型，那就是双手的。

说话人02(00:17:55): 物品是一个镜子，有属性低于九，在物品表上再投一次好再投2d6。怎么这么惨？

说话人01(00:18:13): 都很惨！

说话人04(00:18:15): 我不知道我的力量。

说话人01(00:18:15): 245。

说话人03(00:18:17): 卡在哪里了？

说话人02(00:18:17): 224的话网或者缝针是另一个轻型武器要网还是缝针？

说话人01(00:18:28): 我都有重型武器了，我要轻型武器干什么？

说话人02(00:18:32): 不知道。

说话人03(00:18:33): 来个网咱们可以去网鱼了。

说话人01(00:18:34): 来个网去抓死。

说话人03(00:18:36): 我们可以钓鱼去了。

说话人02(00:18:40): 拿一个网，你可以选一件护甲了。

说话人01(00:18:49): 我都拿重型武器了，拿个轻甲吧！

说话人02(00:18:58): 形象第六。

说话人03(00:19:05): 来个五星，来个五星。

说话人02(00:19:09): 还在母亲？

说话人03(00:19:10): 遗憾！

说话人02(00:19:11): 一的话是新符合。很符合毛色，毛色加花纹。

说话人01(00:19:27): 那不是两个第六吗？

说话人02(00:19:30): 三白色的？

说话人01(00:19:31): 好三一。

说话人02(00:19:34): 白纯白字儿。

说话人01(00:19:38): 纯白鼠！孩子们纯白鼠。

说话人02(00:19:40): 原来是实验室里逃出来的叔叔！

说话人01(00:19:45): 很排除孩子们。

说话人04(00:19:46): 你我们的小白鼠。

说话人01(00:19:50): 投个第六！

说话人03(00:19:52): 2.62.6。

说话人01(00:19:53): 266。

说话人03(00:19:55): 你也来个美丽的脸吧，姗姗可以吗？

说话人01(00:19:58): 得了吧！

说话人02(00:20:01): 四六的话丝滑的毛。

说话人03(00:20:02): 喜欢的猫。

说话人02(00:20:04): 还真是实验室的书！

说话人01(00:20:10): 苹果。

说话人04(00:20:10): 过了又给你玩上被。

说话人02(00:20:16): 稍等我要赶紧你们三个登过飞书吗？

说话人01(00:20:25): 没有了。

说话人02(00:20:26): 赶紧给我登录飞书，你们待会要自己改自己的数数据？正好我这边把你们名字先。打一下到白板地图上。鱼有玉？

说话人02(00:21:13): 登录。

说话人02(00:21:31): 魅魔吗？魅魔在哪了？难道不是这只**猫更有魅惑性吗？

说话人03(00:21:40): 没谁了，被对面了。

说话人04(00:21:41): 什么东西大好，力量强。

说话人03(00:21:41): 然后。

说话人04(00:21:43): 有一股力量的美强度的美！

说话人02(00:21:48): 对的说的太对了。So你们到底给我申请了没有？

说话人03(00:21:59): 好好好！

说话人04(00:22:00): 刚刚打开。

说话人03(00:22:04): 因为不会用，我还得找厂里申请！

说话人01(00:22:07): 对！

说话人04(00:22:08): 你也没有？

说话人01(00:22:08): 不会用！

说话人02(00:22:09): 同意！

说话人01(00:22:10): 我看到飞书有举报。

说话人02(00:22:15): 飞书有个你以前还用过飞书参加什么群？

说话人01(00:22:20): 我看三个。斜杠一个？

说话人04(00:22:27): 报告我不会玩。

说话人01(00:22:30): 不会用。

说话人03(00:22:30): 我也不会玩。

说话人01(00:22:30): 不会用。

说话人02(00:22:31): 但小玉已经编辑成功了。

说话人03(00:22:32): 我觉得我自己。

说话人02(00:22:35): 还有谁不会玩的赏他两个。

说话人03(00:22:40): 我可以申请斗殴了吗？太好了！

说话人02(00:22:43): 不能奖励他了，他血太厚了，你奖励他跟挠痒痒一样，你一一巴掌扇他的脚上不痛不痒。你给他放一个？

说话人01(00:22:55): 这边网好差！

说话人02(00:22:56): 你就让他去到河里面给他放一个黑暗树，让他找不清方向。

说话人03(00:23:06): 不是黑暗素是可以无限使用吗？他这没有说我消耗！

说话人02(00:23:11): 没有消耗法术消耗你的力量归零了，那你要快死了我。

说话人03(00:23:23): 我看一下规则。

说话人01(00:23:24): 诶，很好，我登录上了。

说话人02(00:23:26): 法术在最后一题规则里的。

说话人01(00:23:27): 先等一下。

说话人02(00:23:30): 你直接翻到底部就好了。他原版还有其他很鬼多的限制的，但是我觉得**都已经扣我力量了，你给我加那堆逼限制干什么，他还有法术位。

说话人01(00:23:46): 然后就走了？

说话人02(00:23:46): 给我气笑了，扣我力量，还要我法术位，你要**干啥？

说话人01(00:23:52): 让我来下载飞书。

说话人02(00:23:56): 你可以在网页版编辑！

说话人04(00:23:59): 为什么要分享文档直播能不分享吗？

说话人01(00:23:59): 网页版就能更新？

说话人03(00:24:06): 我觉得文字转写可以开开了。

说话人02(00:24:10): 文字转写开开文字转写干什么？今天没必要开！

说话人03(00:24:13): 没必要开会在一起吧！

说话人02(00:24:18): 没开，你是听你是怕听不清他们在说什么吗？那给你开一开吧！

说话人03(00:24:26): 你听得清肺结在说什么吗？你听得清睫毛在说什么吗？

说话人02(00:24:30): 我没听清，就算开了那玩意也听不清！你以为这开的就听得清？

说话人04(00:24:38): 你们都听不清吗？那我把风扇关了，现在能听清吗？

说话人02(00:24:42): 听得清！

说话人04(00:24:44): 我还是开始回想！

说话人02(00:24:45): *****。**倒是给我把你的耳机给我带好你的耳机？

说话人04(00:24:53): 太好了！但是我风扇我要拿的很近，因为这边很热40多度。

说话人01(00:25:03): 建议别推了直接推直接热死得了。

说话人02(00:25:04): 这车到底只开风扇？

说话人04(00:25:09): 40多都很贵的。

说话人02(00:25:12): **待会你别得热射病给我晕厥在地了，没事还在麦里，要是我们叫你你不回应我就立刻打电话报警了。

说话人03(00:25:22): 但是我们不知道他具体地址！

说话人01(00:25:23): 打120打？

说话人03(00:25:24): 你先把地址告诉我们吧！

说话人02(00:25:24): 来赶紧你把你赶紧把你的地址这个门牌号告诉我。

说话人03(00:25:31): 把真名也得解放一下。不然的话我们打过去跟说喂我们这边的一位叫风云剑的先生，他晕倒在地。

说话人04(00:25:40): 他住哪住，他妈中间就在这。

说话人01(00:25:44): 住哪住空间计算室？

说话人02(00:25:48): 是已经倒闭了，现在是水晶的时代。人类的社会已经灭亡了，现在数数。的天下骗你的。

说话人02(00:26:08): 我们的风月牙你弄好了吗？

说话人04(00:26:09): 别人也不在。

说话人01(00:26:13): 我刚下好！

说话人04(00:26:13): 我们一开始就把自己的状态变成一直变成零吗？好像可以。我好想要个法术！

说话人01(00:26:27): 登录一下。

说话人03(00:26:29): 那你想去吧！

说话人02(00:26:30): 那你想去吧！

说话人04(00:26:32): 我这就做，你们不觉得我开着风扇跟你们跑团很有那种味道吗？好像真有一只老鼠跟你们跑团一样。

说话人02(00:26:40): 没听出来。

说话人04(00:26:40): 你不都叫天猫了吗？你什么老鼠？

说话人03(00:26:42): 对你不是接猫吗？

说话人02(00:26:48): 听出来理解。

说话人04(00:26:48): 你你们需要你们需要在我的话，这个模糊的话语中找寻出我真正的意思，这样你才能知道自己玩的是 coc虽然你玩的也不是 coc。

说话人03(00:27:00): 我们这是 coc 吗？

说话人04(00:27:02): cc 的。

说话人02(00:27:04): 纯傻狗不用管。

说话人04(00:27:06): 这样你才能知道我们是在 coc 认识的。

说话人03(00:27:10): 因为我是 coc 认识的吗？

说话人04(00:27:10): 一家人 coc 认识，原来不？

说话人03(00:27:15): 原来？

说话人02(00:27:16): 还有神秘，用户怎么还没有给我申请这个权限？

说话人04(00:27:21): 你不是在秋月的群里，然后我加的你吗？

说话人01(00:27:26): 咦，我跟不上去！

说话人02(00:27:29): 还更你已经有两次刚刚登上去了。你到底刚刚在哪？

说话人04(00:27:36): 我好懒，要不秋月帮我弄吧！我已经见猫属性共鸣了。

说话人01(00:27:46): 申请了。

说话人02(00:27:49): 同意 ok我们事不言弃管你听没听懂，开就完了。

说话人01(00:27:59): 是不言起吗？一开就完了。

说话人02(00:28:02): 管你听没听懂，好，这边先不管它。你们三只勇敢的鼠说你们是怎么凑到一块的，或者说你们四个都互不相识，三个都互不相识吗？哪来的四个有个不存在的出现了？

说话人04(00:28:23): 我和我旁边不存在的兄弟对视了一眼。

说话人02(00:28:26): 你有一只这一个兄弟的亡魂一直在跟随着你。

说话人04(00:28:33): 对的。

说话人02(00:28:35): 他是被你害死的。

说话人03(00:28:35): 但是问题，但问题是你在咱们俩中间。

说话人04(00:28:37): 对！

说话人03(00:28:38): 你在看谁？

说话人04(00:28:40): 我在看后面他现在就挂在我的后背上。然后一直在我耳边说还我命来我跟他对视了一眼，然后说你谁不认识滚。

说话人01(00:28:52): 我给你一脚，你什么***，还叫煎包这种名字还发疯。

说话人03(00:28:57): 对！

说话人04(00:28:58): 你怎么知道我叫什么名字的？

说话人03(00:28:58): 不是。

说话人04(00:29:00): 你们是谁？

说话人01(00:29:01): 我们都认识废话吗？

说话人04(00:29:03): 原来如此那你能借我200块钱吗？

说话人03(00:29:04): 我们好歹是朋友！

说话人01(00:29:06): 这人有精神。

说话人04(00:29:06): 能借我200块钱吗？

说话人01(00:29:07): 吃糖了？

说话人02(00:29:08): 渠道认识的吗？

说话人01(00:29:08): 有精神吃糖了？

说话人02(00:29:10): 你们是合法渠道认识的吗？

说话人01(00:29:10): 没错，我们没错。

说话人04(00:29:12): 我是。

说话人03(00:29:12): 我跟母亲认识！

说话人01(00:29:13): 包认识的？

说话人03(00:29:14): 我跟对我跟电猫认识。

说话人04(00:29:18): 对的，所以能借我200块钱吗？我现在就剩1块钱了。

说话人03(00:29:21): 滚**的我哪有那么多钱？

说话人04(00:29:24): 我随机摆一个旁边笼子我觉得它挺不错的朋友你能借我200块钱吗？

说话人01(00:29:31): 这样吧，你给我1块钱，我回头返给你200。

说话人04(00:29:36): 好，我赶紧把那1块钱掏出来给他。

说话人01(00:29:38): 什么时候返利，等我死的时候返利！

说话人04(00:29:42): 明明死了也要跟着我吗？

说话人02(00:29:46): 还有高手！

说话人03(00:29:49): 这一句话。

说话人02(00:29:49): 我们还在跟市场签订了生死契约羁绊，特别的深深厚了。

说话人01(00:29:57): 我钱包减一了，钱包减一归我了。

说话人03(00:30:00): 那你加一句吧！

说话人01(00:30:01): 你钱包+1+1好好好，我给钱包+1！

说话人02(00:30:06): 我去，那你们自己加吧，你们爱。

说话人01(00:30:09): 行，你有吧！

说话人03(00:30:11): 等一下是不是？

说话人02(00:30:12): 我看一看有没有变没变的话我就要手动介入了。

说话人01(00:30:20): 那我加了我加了。

说话人03(00:30:21): 不是我记得建模初始是零。

说话人01(00:30:23): 放心，我们已经签订了生死契约！

说话人03(00:30:23): 初始是一吧？

说话人01(00:30:26): 我要保护你？

说话人04(00:30:27): 他死了他也他我会把他的灵魂拿过来，然后放在我这个美丽的班里面。

说话人01(00:30:32): 创业死了？你死了，我绝对不独活。

说话人02(00:30:34): 没事，反正你们这个10位数以内的皮普约等于是不用在意了，你们肯定还是要收刮的。

说话人03(00:30:41): 对！

说话人01(00:30:43): 没事。

说话人02(00:30:43): 来到蜜糖镇，这里有一个老蜜农向你们求救。我们本地蜜糖镇的集市日都过去两天了，蜂巢那边一只采蜜鼠都没有回来，我们还在高处观察到蜂巢那边散发着银色的光，求你们拜托你们勇敢的冒险鼠帮我们去看看那边到底发生什么事了。

说话人01(00:31:11): 可以秒？

说话人02(00:31:13): ***你在飙什么？

说话人04(00:31:14): 可以。

说话人03(00:31:15): 你在瞄什么？

说话人04(00:31:15): 当然可以。

说话人03(00:31:16): 那报酬是什么？

说话人02(00:31:20): 报报报仇，你们想要多少皮肤？

说话人04(00:31:23): 你也要跟我报仇吗？

说话人03(00:31:27): 我不知道自己的购买力。

说话人02(00:31:29): 购买力吗？看共享资料册！

说话人04(00:31:32): 我能要两瓶百事可乐吗？

说话人02(00:31:36): 要水要啤酒吗？蜀食王国里面有没有啤酒？

说话人01(00:31:42): 你你你能给我等量价值的垃圾吗？

说话人02(00:31:44): 让我看一下史书王国里面的好像没有提。

说话人01(00:31:49): 你会给我一个木钉吗？

说话人02(00:31:51): 蜀黍果里面确实没提过，没有提过酒，有没有酒这回事，口粮倒是有口粮是五五皮普。

说话人04(00:32:02): 口粮食五皮普的话，那咱们大概要个10万皮普就够了？

说话人03(00:32:08): 随机他答得出来吗？你好好想。

说话人02(00:32:12): 这样子一口价全队30皮普。

说话人04(00:32:17): 人人30皮肤？

说话人02(00:32:21): 因为现在只是让你们去打探情报。

说话人01(00:32:25): 一个人30可以人30！

说话人04(00:32:28): 一个人300。

说话人01(00:32:31): 一个人3万？

说话人02(00:32:33): 全对30。

说话人03(00:32:35): 可以没问题，不用理他们两个人。

说话人04(00:32:40): 两个人？

说话人03(00:32:41): 你不用离他们两只鼠？

说话人04(00:32:44): 那我问一下我背后那位你你想和我们一起去吗？他说还我命来行，他想和我们一起去。

说话人02(00:32:51): 我没说话闭嘴。

说话人01(00:32:54): 闭嘴。

说话人02(00:32:55): 我没说话，闭嘴，对你们的背景参考叙事共创类的，你觉得背景里这个身份你能知道的事情，那你就给我提，反正一个情绪规则。来，那我们就出发了，管你这那的。

说话人04(00:33:19): 我作为一只猫那我？

说话人02(00:33:21): **三天之内杀了你。

说话人01(00:33:25): 那我作为一个垃圾收集者，我尝试熟悉周围的路线收集垃圾，那我知道好很好的路线，最起码。

说话人02(00:33:33): 路线嘛，压根也不需要你规划路线！

说话人01(00:33:35): 唱歌的话那行！

说话人02(00:33:38): 偌大的树随便就能看得见了。

说话人01(00:33:39): 不需要我给好多钱？

说话人02(00:33:43): 比你大 n 倍，还需要规划什么路线？Ok那你们走了一个守望的时间，从花粉小径穿过高草丛到达了这一棵空心橡树根部的裂缝被蜜蜡墙蜂胶封了大半裂缝里还渗出甜腻的怪异气味，还有隐约的银色微光。你们走进一球，这蜜蜡墙上居然还有某种符文图腾就是它在散发着银色光芒。

说话人02(00:34:33): 当然，如果你们想要进去的话，挤一挤还是能进的，或者说你想把这叫蜜蜡墙推倒，或许也不错。

说话人04(00:34:45): 小玉你会法术，你过去看一眼这什么东西？

说话人01(00:34:48): 对！

说话人03(00:34:48): 我只会黑暗术，我喜欢黑暗。

说话人01(00:34:51): 那个房间睫毛，你操作后进去看看。

说话人02(00:34:56): 没事于有玉确实看出来一点门道，这上面的符文是某种警告符文。

说话人03(00:35:08): 这是个警告符文。

说话人02(00:35:08): 带有警告意味的，但也仅仅只是警告没有。

说话人03(00:35:12): 他只有警告，因为他不会反击肩膀上吧！

说话人04(00:35:15): 我要上吗？我也要上吗？

说话人02(00:35:18): 天猫用出你强大的这臂力。

说话人03(00:35:18): 那不然？

说话人04(00:35:20): 行不？

说话人03(00:35:22): 是给他打碎！他只有警告他。

说话人04(00:35:23): 放你了？

说话人03(00:35:24): 甚至他警告是它有报警功能吗？

说话人04(00:35:27): 我拿着我的双锤过去。

说话人03(00:35:28): 它有预警功能吗？

说话人02(00:35:30): 不，他警告？

说话人04(00:35:34): 怎么说？

说话人02(00:35:35): 此地危险！

说话人01(00:35:35): 警告的大致内容。

说话人03(00:35:39): 就小心地滑那种警告来给它打碎。

说话人02(00:35:43): 给他打死的。

说话人04(00:35:43): 那我拿着我的双锤过去，然后对这个板子做一个交流。

说话人02(00:35:45): 要你要知道这个世界不只有你们叔叔，当然你们想要冒险的话，那就记得承担冒险的代价就好了。

说话人01(00:35:55): 我想判断一下石板离我们远吗？我能用垃圾钩给它勾过来吗？

说话人02(00:36:00): 这是蜜蜡墙不是石板？

说话人01(00:36:02): 那个石板，用钩子给它勾下来。

说话人02(00:36:06): 哪来的石板？我没有描述石板。

说话人01(00:36:09): 没有密码墙，最后点我把钩子卡进去给他拉，咱们拉，把他拉倒。

说话人02(00:36:15): 拉倒或推倒也行，但拉倒跟推导其实可能差不了太多。

说话人01(00:36:22): 不，我是拿钩子到远距离。

说话人02(00:36:23): 同样会造起很大的声响，它起码是你身体的两倍高，由于你们没有巨大的鼠的背景，所以你们体型没有一个是比这玩意高的。

说话人04(00:36:39): 我能过去敲门吗？

说话人02(00:36:42): 自敲门吗？没有这里个洞口，它只是洞口被这个蜜蜡墙和蜂胶封住了一点点，你们还是能挤得进去的，如果想进去的话。

说话人03(00:36:53): 那我们？

说话人04(00:36:54): 附近找一下有没有？

说话人03(00:36:54): 要不我们先绕一圈看看要不？

说话人02(00:36:58): 然后一圈看看其他的树进了这里并没有其他入口只有一个入口。

说话人04(00:37:07): 那咱们挤进去吧！

说话人03(00:37:07): 挤进去吧！

说话人04(00:37:10): 你进去吧！

说话人02(00:37:11): 挤进去太曼妙了。

说话人04(00:37:16): 我把他们护士身前。

说话人01(00:37:16): 见猫皮糙肉厚见猫站最前面。

说话人04(00:37:19): 我把他们护至身前，我先说的。
