说话人01(00:00:00): 第四把。
说话人02(00:27:22): 狗狗说话吧，狗狗你是近战，我是远程。

说话人01(00:27:25): 我说句话。

说话人02(00:27:29): 如果他有敌意的话，我直接远程 a他一下。

说话人01(00:27:33): 很好！

说话人03(00:27:33): 那就这样子。

说话人01(00:27:34): 那我过去了？

说话人03(00:27:35): 那就属实，看到你们走过来时，站起身来向你们伸出的小爪食谱。每人食谱？

说话人02(00:27:51): 这是为什么要说我们是皮普？

说话人03(00:27:56): 就不给进？

说话人02(00:27:58): 为什么？

说话人01(00:27:59): 还有门票钱的？

说话人03(00:28:03): 什么玩意？你刚才说啥玩意？

说话人02(00:28:05): 里面有什么东西值得我们画视频不进去看看？

说话人03(00:28:05): 有点小。你要这么问，我看一眼。

说话人02(00:28:15): 稍微介绍嘛！

说话人01(00:28:18): 这地方导游反反正。把你雇进来解说要多少钱？

说话人03(00:28:24): 额外10批古诗讲解费。

说话人01(00:28:29): 还真有导游哈！

说话人03(00:28:32): 你们本来就两个20匹普，然后再加10匹普是要求的介绍费。

说话人02(00:28:41): 让他不要介绍费了。

说话人03(00:28:43): 好，那就21步。

说话人01(00:28:43): 骗你的一一皮肤都没有。

说话人02(00:28:48): 我肯定是我帮你付！

说话人03(00:28:50): 对！

说话人02(00:28:50): 你在笑什么要付吗？我们要打吗？

说话人03(00:28:55): 继续一直输。

说话人01(00:28:56): 我觉得倒是不用吧，说不定里面还有人见有人打导游！

说话人03(00:29:01): 还有树？

说话人01(00:29:03): 狗见有狗打导游的话直接出来一拥而上，把我们给做成烤狗干了。

说话人03(00:29:14): 没那么香。

说话人02(00:29:16): 行吧，那我们付钱付皮肤进去吧，我来。

说话人01(00:29:20): 主要是不是我花钱？

说话人02(00:29:22): Ok我扣好了。

说话人03(00:29:23): 挂真棒！他就乖乖吃收下这个皮肤继续蹲在洞口抽烟了，你们往下看去一片黑暗的石阶，点燃这一个你们的佛把逐渐向下。

说话人02(00:29:51): 吓哭了！

说话人03(00:29:52): 不太适应这版本。

说话人01(00:29:58): 那很会向下了。我外面有人唱歌唱的真难听！

说话人02(00:30:11): 听不到。

说话人03(00:30:13): 唱歌原来不是你在唱我去不早约。

说话人01(00:30:17): 我去居然是我在唱吗？居然被你发现了。连我自己都不知道。

说话人03(00:30:28): 因为你是傻狗！

说话人01(00:30:31): 你看你都说我是狗了，证明我确实是只狗什么狗格障碍我就很忙不是。

说话人03(00:30:44): 好耶在向下走时能听见什么？我聊一下。不对说错了。

说话人01(00:31:04): 还有实际传言的？

说话人03(00:31:08): 能看见远处突然亮起一点微光，但很快暗下去了，越往下走，感觉气温也跟着下降，在墙上的影子拉长又。前面似乎还有一点细长的足迹，在一点点的变淡消失并没有什么发生。继续往下走。来到这块开阔地带。此处是一个低矮的木厅，棚顶还在渗水，水滴一颗颗砸在青苔上，左侧是一道镶嵌着铜钉的石门。

说话人03(00:32:21): 右侧的！是这样。好，就这样。

说话人01(00:32:45): 不如咱们分头行动。

说话人03(00:32:47): 好！

说话人01(00:32:48): 我也不知道为什么要分头行动，我就是。

说话人03(00:32:54): 右侧有个通道，左侧有一个石门。

说话人02(00:32:58): 先看看石门等会儿再决定分头走，万一万一这个门开不了！

说话人01(00:33:03): 我和小鱼是左边甲虫和麻雀是右边。

说话人02(00:33:06): 神经假装必须跟着我走！

说话人01(00:33:10): 坏吗？

说话人03(00:33:10): 还有高僧？

说话人02(00:33:11): 因为假如驮着我走的你当。

说话人03(00:33:14): 那是麻雀不也是驮着狗狗走的吗？说白了。

说话人01(00:33:18): 原来还有残疾人，残疾狗！

说话人02(00:33:22): 我是纯懒，我都在贾彤的背上摊成一摊薯饼了，你还想我勤快到哪里去？

说话人01(00:33:31): 还有空气公子的？

说话人03(00:33:32): 远程这一块？

说话人02(00:33:34): 对！

说话人01(00:33:35): 行吧，那这样吧，咱们三个往左走吧，先往右走。

说话人03(00:33:44): 信不信我3秒钟吃你。

说话人02(00:33:46): 先看门。先看门。

说话人01(00:33:48): 行吧，左边看看。

说话人03(00:33:55): 这个石门整块门板是块朽木，它的铜钉锈的有些发绿门是没有把手的只有一把铜黄铜挂锁孔里还堵着蜡。

说话人01(00:34:17): 他应该要用保卡？

说话人03(00:34:21): 你们似乎没有足够趁手的。

说话人02(00:34:21): 我们能用火给它烤？

说话人03(00:34:25): 工具来撬开这黄铜锁，当然也可以试试。代价是什么？

说话人02(00:34:37): 我觉得算了吧！

说话人03(00:34:37): 自己承担吧！

说话人01(00:34:38): 那不很简单吗？相信我的头晕！

说话人02(00:34:48): 你要撞门的话你撞去，我觉得我们应该先走另外一根道。

说话人01(00:34:54): 那我们走另外一个道！

说话人03(00:34:57): 喷你一看。

说话人01(00:34:57): 为什么要用丁来？

说话人03(00:34:58): 怎么没有人撬锁我？

说话人02(00:35:02): 没带没带撬锁工具！

说话人03(00:35:05): 真没有吗？其实鱼钩也未必不能用来撬黄铜挂锁！

说话人02(00:35:11): 但问题是我没有鱼钩，狗狗有鱼钩吗？

说话人01(00:35:15): 我的鱼钩扔了！

说话人02(00:35:17): 那你玩给我！

说话人03(00:35:18): 没有扔，什么时候扔了，我不还在包里面吗？

说话人01(00:35:22): 在我的脑海里扔了，完全没用，我已经还占我好久位置空，我已经精神上把它丢弃了。

说话人02(00:35:29): 那你送我，那你送我！

说话人01(00:35:35): 我精神上把它忘记了，我根本不知道自己有一根鱼钩是这样的。

说话人03(00:35:40): 你那你翻看他的背包，从他的背包翻出来一个鱼钩。

说话人01(00:35:45): 我的天，你拿个空气干什么？这里不要无实物表演。

说话人02(00:35:50): 快点，你把它放在我格子里，我抢过来了，我不管了。

说话人03(00:35:55): 那你自己背往自己的格子里面加着鱼钩。

说话人01(00:35:59): 你放我包干什么？

说话人02(00:36:02): 什么你承认这是你包？

说话人01(00:36:04): 这是我包？

说话人02(00:36:07): 明明是我包我是钓鱼佬，为什么我包，那为什么我的优惠出现在你包里？

说话人01(00:36:13): 这包里啥都没有，这就一个空包你为什么要翻我的包，你连我空包都要好坏你。

说话人03(00:36:22): 气笑了 ok，也是给我看释怀了。

说话人02(00:36:27): 笑死我，我要用我宝贵的一棍笑死我。

说话人03(00:36:30): 你别急，我要给你们上教育了。

说话人01(00:36:33): 你在用空气干什么？你这家伙？

说话人03(00:36:39): 三遭遇让我 cc 给你们刷上啥了？看到了。

说话人02(00:36:59): 诶等一下。

说话人03(00:37:01): 你们听见？

说话人01(00:37:02): 我要不买个可乐喝吧一会。

说话人03(00:37:05): 从身后传来铁链拖地的声音，回头望去！的锁链，脚链铁脚链。出来了。

说话人01(00:37:26): 这个拖着那么一长串，我也不知道怎么叫铁链脚链铁脚链的东西的人。

说话人03(00:37:33): 的鼠，他手上还捧着皮普。

说话人01(00:37:37): 在干什么？

说话人03(00:37:41): 在铁链的末端拴着一截断砖。

说话人02(00:37:46): 我想看一下。

说话人01(00:37:46): 铁链脚链**链还挺？

说话人03(00:37:49): 那你看一下它的特征，灰色的幼儿缺失，这幼儿又缺角。

说话人01(00:37:54): 这不就我们找的那只吗？

说话人03(00:37:57): 他好像是刚才自己挣脱出来了，正准备跑。可能是遇到了生的希望，或者说是听到两个抽象人抽象鼠在外面喧闹，想自己过来拼命挣扎，求你们帮忙，你们是谁？

说话人02(00:38:14): 效果暂停。

说话人03(00:38:16): 你们是谁？你们看样子不像是守墓人。

说话人01(00:38:20): 你是你之前是不是在那个？

说话人03(00:38:22): 守夜人。

说话人01(00:38:24): 要叫什么地方？

说话人02(00:38:26): 你是不是有个兄弟叫秃毛？

说话人03(00:38:28): 你们是他找来了吗？太好了，求你们赶紧给我解开，我这个锁好重！

说话人02(00:38:36): 过去看看看能不能解开。

说话人01(00:38:38): 从这个名字就能听出来很重！

说话人03(00:38:42): 库里克里。刚脚链你们打算怎么解开？

说话人02(00:38:48): 不接梗。

说话人03(00:38:53): 当然有锁孔。

说话人02(00:38:55): 有时候我们现场。

说话人03(00:38:55): 也可以蛮力砸开。玛丽把铁环砸开。

说话人02(00:39:00): 撬锁做什么？

说话人03(00:39:02): 只是会有一个铁圈在她的脚上。

说话人02(00:39:06): 过撬锁是怎么过法？

说话人03(00:39:09): 过敏捷豁免！

说话人02(00:39:11): 那我过敏就后面？把他跳死了。

说话人01(00:39:14): 加油！

说话人03(00:39:16): 没有没有数上优势吗？虽然这里也没有希望投，也没有希望点。

说话人01(00:39:22): 我想一下！

说话人02(00:39:23): 正好。

说话人03(00:39:25): **你敏捷12？

说话人02(00:39:27): 对！

说话人03(00:39:28): 牛福没话说，你为他挣脱开了锁链。

说话人02(00:39:38): 狗狗我们的任务已经完完成一半了，我们现在护送他回去还是想接着探一探这里。

说话人01(00:39:45): 我们什么叫完成一半，我们过来不只有这一个任务吗？

说话人03(00:39:49): 那我们再说一遍。

说话人01(00:39:50): 难道是我刚才没听清吗？

说话人03(00:39:53): 是确实任务确实只有这一个，你们不想要更多钱吗？这里，这里他给你们解释一下吧。最近这里面的守夜人在四处强征老鼠进墓里挖坟找皮谱教的少的人就要被关进底层。他兄弟和他是这群老鼠养大的孤儿之一，从小都是在这里长大的。前阵子守夜人开始抓墓外面的老鼠松鼠。

说话人02(00:40:41): 太坏了我说任务完成一半是因为我们还没有给他护送回去！

说话人01(00:40:48): 行，那咱们先看看。

说话人03(00:40:52): 先看看他要给你们指引这一个右边是守夜人的住所。

说话人02(00:41:05): 那守夜鼠你看到的守夜鼠有几只？

说话人03(00:41:11): 他们我不知道。我肯定是没人才敢挣脱出来的！

说话人02(00:41:21): 说你看见过有几个至少几个守夜鼠，因为我们有点想抢点钱出来。

说话人03(00:41:28): 数月数吗？数月数好像很多的耶！

说话人02(00:41:31): 我觉得我们该撤退了。

说话人01(00:41:34): 有5只左右吗？我们觉我觉得我们该撤退了。

说话人02(00:41:41): 好达成一致。

说话人03(00:41:42): 那我不禁要问了，门口那只怎么办？他们最近还在附近强征？你怎么确保待会出来的时候不会遇到真赎回来的守夜人。

说话人01(00:41:56): 锁不是没了吗？不对咱们一咱们再不投，咱们也被也该被强征了，怎么办？

说话人02(00:42:02): 主要是我现在想，如果我们到时候出去遇到他们的话，顶多就是打他们回来就亲属。如果我们先往下走，然后先把下面鼠亲完之后再往上，然后又会遇到他们。

说话人01(00:42:18): 苦地鼠是不是下面没多少？

说话人03(00:42:19): 要不试试？

说话人02(00:42:22): 我们可以调整。

说话人03(00:42:27): 这个苦力鼠，他听说守夜人的头目这么想要这么多的皮肤进去投给什么东西？

说话人02(00:42:41): 同意什么？

说话人01(00:42:42): 这里都有学生书记的。

说话人02(00:42:48): 但是人家好学生吃钱。

说话人03(00:42:54): 为什么有人叫我？

